date,open,high,low,close,volume
2025-04-16 04:00:00,2.14,2.28,2.11,2.17,105592.0
2025-04-17 04:00:00,2.16,2.26,2.0899,2.2,107111.0
2025-04-21 04:00:00,2.24,2.24,2.03,2.05,127009.0
2025-04-22 04:00:00,2.16,2.5088,2.04,2.2,722990.0
2025-04-23 04:00:00,2.25,2.27,2.1416,2.19,394061.0
2025-04-24 04:00:00,2.73,3.03,2.4,2.6,48383663.0
2025-04-25 04:00:00,2.57,2.59,2.34,2.37,1221574.0
2025-04-28 04:00:00,2.32,2.37,2.2,2.2,498594.0
2025-04-29 04:00:00,2.21,2.28,2.0786,2.1,466202.0
2025-04-30 04:00:00,2.13,2.14,2.0,2.11,337823.0
2025-05-01 04:00:00,2.11,2.2,2.05,2.2,174116.0
2025-05-02 04:00:00,2.16,2.28,2.15,2.19,320480.0
2025-05-05 04:00:00,2.18,2.2599,2.03,2.04,217461.0
2025-05-06 04:00:00,2.07,2.0995,2.0,2.05,247329.0
2025-05-07 04:00:00,2.05,2.1004,2.05,2.09,98517.0
2025-05-08 04:00:00,2.1,2.25,2.1,2.14,399126.0
2025-05-09 04:00:00,2.16,2.18,2.01,2.08,253443.0
2025-05-12 04:00:00,2.14,2.1795,2.1,2.13,209627.0
2025-05-13 04:00:00,2.16,2.33,2.16,2.25,392685.0
2025-05-14 04:00:00,2.26,2.2996,2.21,2.21,351757.0
2025-05-15 04:00:00,2.23,2.24,2.13,2.19,954507.0
2025-05-16 04:00:00,2.33,2.64,2.33,2.49,1668691.0
2025-05-19 04:00:00,2.4,2.46,2.34,2.37,309399.0
2025-05-20 04:00:00,2.45,2.59,2.39,2.43,474815.0
2025-05-21 04:00:00,2.45,2.49,2.3,2.3,440244.0
2025-05-22 04:00:00,2.39,2.44,2.3101,2.43,250640.0
2025-05-23 04:00:00,2.43,2.5,2.34,2.5,238873.0
2025-05-27 04:00:00,2.67,3.74,2.59,2.65,23443723.0
2025-05-28 04:00:00,2.73,2.95,2.65,2.83,1234548.0
2025-05-29 04:00:00,2.94,2.97,2.74,2.75,731774.0
2025-05-30 04:00:00,2.7,2.87,2.68,2.77,386851.0
2025-06-02 04:00:00,2.93,3.13,2.79,2.89,1055812.0
2025-06-03 04:00:00,2.95,3.105,2.9,3.02,1256426.0
2025-06-04 04:00:00,3.09,3.19,3.0,3.18,928524.0
2025-06-05 04:00:00,4.73,6.92,4.15,4.45,136896984.0
2025-06-06 04:00:00,4.4,4.78,4.05,4.29,6679764.0
2025-06-09 04:00:00,4.6604,5.88,4.41,4.54,11853595.0
2025-06-10 04:00:00,5.26,5.4,4.7,4.9,9175792.0
2025-06-11 04:00:00,5.07,5.45,4.71,4.84,2922707.0
2025-06-12 04:00:00,5.1,5.27,4.82,5.05,3511075.0
2025-06-13 04:00:00,5.32,6.3,4.87,4.97,12748480.0
2025-06-16 04:00:00,5.276,5.28,4.9139,5.05,2317188.0
2025-06-17 04:00:00,5.179,5.18,4.59,4.72,2132380.0
2025-06-18 04:00:00,4.8,4.8,4.13,4.32,1706718.0
2025-06-20 04:00:00,4.2,4.4,3.83,3.95,1055246.0
2025-06-23 04:00:00,3.94,4.08,3.73,3.77,899497.0
2025-06-24 04:00:00,4.05,4.09,3.8,3.86,1040293.0
2025-06-25 04:00:00,4.01,4.12,3.82,3.93,1219054.0
2025-06-26 04:00:00,3.94,3.94,3.67,3.75,783832.0
2025-06-27 04:00:00,3.75,3.75,3.37,3.45,881412.0
2025-06-30 04:00:00,3.5,3.74,3.45,3.67,695140.0
2025-07-01 04:00:00,3.71,3.71,3.48,3.49,604680.0
